date,composite,couverture
1895-06-01,0.6067062996865396,0.0851940913775335
1895-07-01,0.8235710255015484,0.0851940913775335
1895-08-01,1.1604688096243627,0.0851940913775335
1895-09-01,1.2339118442312675,0.0851940913775335
1895-10-01,1.061062981436017,0.0851940913775335
1895-11-01,0.6667073822391079,0.0851940913775335
1895-12-01,0.14828039836345208,0.0851940913775335
1896-01-01,0.1659891761936135,0.0851940913775335
1896-02-01,0.7781543518871251,0.0851940913775335
1896-03-01,0.5902437385063037,0.0851940913775335
1896-04-01,0.856583813699659,0.0851940913775335
1896-05-01,0.9728428472247854,0.0851940913775335
1896-06-01,0.9347508792016359,0.0851940913775335
1896-07-01,0.18363870429481263,0.0851940913775335
1896-08-01,-0.43113598275025683,0.0851940913775335
1896-09-01,0.12466778549660407,0.0851940913775335
1896-10-01,0.054590500985423424,0.0851940913775335
1896-11-01,0.48550891026030585,0.0851940913775335
1896-12-01,0.09355851340267,0.0851940913775335
1897-01-01,0.4428977306426488,0.0851940913775335
1897-02-01,0.3531972427378974,0.0851940913775335
1897-03-01,0.3949602677671203,0.0851940913775335
1897-04-01,0.2187981710105337,0.0851940913775335
1897-05-01,0.45388135303958405,0.0851940913775335
1897-06-01,0.9909605698004242,0.0851940913775335
1897-07-01,1.519385311785178,0.0851940913775335
1897-08-01,1.740085695728033,0.0851940913775335
1897-09-01,1.9609807224164142,0.0851940913775335
1897-10-01,1.7150683294522628,0.0851940913775335
1897-11-01,1.2639906766063955,0.0851940913775335
1897-12-01,1.5094738519522066,0.0851940913775335
1898-01-01,1.8193248277614131,0.0851940913775335
1898-02-01,1.5889486459000426,0.0851940913775335
1898-03-01,1.0127471081592543,0.0851940913775335
1898-04-01,0.7898530421581176,0.0851940913775335
1898-05-01,0.7158189439842139,0.0851940913775335
1898-06-01,1.9661716195857553,0.0851940913775335
1898-07-01,2.1409989595038432,0.0851940913775335
1898-08-01,2.536405649772339,0.0851940913775335
1898-09-01,2.430983040669293,0.0851940913775335
1898-10-01,2.0932074202641475,0.0851940913775335
1898-11-01,2.4148311917313476,0.0851940913775335
1898-12-01,2.888981815349463,0.0851940913775335
1899-01-01,3.682583464766999,0.0851940913775335
1899-02-01,3.6259731999057534,0.0851940913775335
1899-03-01,3.6334846383458403,0.0851940913775335
1899-04-01,3.4562329251725883,0.0851940913775335
1899-05-01,2.8247084347311815,0.0851940913775335
